elect,election,"['fn', 'wn']","['Change_of_leadership', 1]","['fn', 21]","['fn', 89]","['fn', 397]",0.9852941176470589,0
pardon,forgiveness,"['fn', 'wn']","['Forgiveness', 0]","['fn', 0]","['fn', 1]","['fn', 27]",0,0
sentence,sentence,"['fn', 'wn', 'wn', 'wn', 'wn']","['Sentencing', 1, 2, 3, 3]","['fn', 5, 3, 6, 6]","['fn', 8, 3, 7, 7]","['fn', 128, 2259, 105, 105]",0.20512820512820512,0
indict,indictment,"['fn', 'wn', 'wn']","['Notification_of_charges', 0, 0]","['fn', 2, 2]","['fn', 2, 2]","['fn', 3, 3]",1.0,0
acquit,acquittal,"['fn', 'wn']","['Verdict', 0]","['fn', 1]","['fn', 3]","['fn', 325]",0,0
extradite,extradition,"['fn', 'wn']","['Extradition', 0]","['fn', 0]","['fn', 2]","['fn', 73]",0,0
divorce,divorcee,"['fn', 'wn']","['Personal_relationship', 2]","['fn', 2]","['fn', 2]","['fn', 39]",0,0
arrest,apprehension,"['fn', 'wn', 'wn']","['Arrest', 0, 2]","['fn', 0, 1]","['fn', 5, 28]","['fn', 96, 176]",0.0,0
arrest,arrest,"['fn', 'wn', 'wn']","['Arrest', 0, 2]","['fn', 5, 20]","['fn', 5, 28]","['fn', 96, 176]",1.0,0
attack,onslaught,"['fn', 'wn']","['Attack', 0]","['fn', 2]","['fn', 582]","['fn', 1033]",0.5,0
attack,incursion,"['fn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","['Attack', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['fn', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['fn', 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582]","['fn', 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033]",0.0,0
attack,bombing,"['fn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","['Attack', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","['fn', 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","['fn', 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342]","['fn', 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267]",1.0,0
attack,attack,"['fn', 'wn', 'wn', 'wn']","['Attack', 0, 9, 14]","['fn', 17, 22, 0]","['fn', 582, 342, 0]","['fn', 1033, 1267, 160]",0.6296296296296297,0
attack,onset,"['fn', 'wn']","['Attack', 0]","['fn', 0]","['fn', 582]","['fn', 1033]",0.0,0
attack,charge,"['fn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","['Attack', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['fn', 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]","['fn', 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582]","['fn', 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033]",0.3902439024390244,0
attack,strike,"['fn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","['Attack', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","['fn', 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","['fn', 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 582, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342]","['fn', 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1033, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267]",0.2222222222222222,0
attack,raid,"['fn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","['Attack', 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","['fn', 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['fn', 342, 342, 342, 342, 342, 342, 342, 342, 342, 342, 342]","['fn', 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267, 1267]",1.0,0
attack,attacker,"['fn', 'wn', 'wn']","['Attack', 9, 14]","['fn', 22, 0]","['fn', 342, 0]","['fn', 1267, 160]",1.0,0
convict,conviction,"['fn', 'wn']","['Verdict', 2]","['fn', 11]","['fn', 11]","['fn', 30]",0.13636363636363635,0
appeal,appeal,"['fn', 'wn', 'wn']","['Request', 2, 4]","['fn', 8, 4]","['fn', 8, 4]","['fn', 69, 96]",0.32,0
manufacture,manufacture,"['fn', 'wn', 'wn', 'wn', 'wn']","['Manufacturing', 0, 1, 2, 2]","['fn', 2, 0, 3, 3]","['fn', 37, 46, 8, 8]","['fn', 914, 208, 121, 121]",1.0,0
manufacture,fabrication,"['fn', 'wn', 'wn', 'wn', 'wn']","['Manufacturing', 1, 2, 2, 2]","['fn', 0, 0, 0, 0]","['fn', 46, 8, 8, 8]","['fn', 208, 121, 121, 121]",0,0
manufacture,production,"['fn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","['Manufacturing', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['fn', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['fn', 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37]","['fn', 914, 914, 914, 914, 914, 914, 914, 914, 914, 914, 914]",0.0,0
manufacture,manufacturing,"['fn', 'wn']","['Manufacturing', 1]","['fn', 2]","['fn', 46]","['fn', 208]",1.0,0
manufacture,manufacturer,"['fn', 'wn', 'wn']","['Manufacturing', 2, 2]","['fn', 3, 3]","['fn', 8, 8]","['fn', 121, 121]",1.0,0
buy,purchaser,"['fn', 'wn']","['Commerce_scenario', 1]","['fn', 34]","['fn', 268]","['fn', 4302]",0,0
buy,buyer,"['fn', 'wn']","['Commerce_scenario', 1]","['fn', 102]","['fn', 268]","['fn', 4302]",1.0,0
hire,hire,"['fn', 'wn']","['Hiring', 1]","['fn', 0]","['fn', 0]","['fn', 16]",0,0
die,suffocation,"['fn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","['Death', 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","['fn', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['fn', 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255, 255]","['fn', 2446, 2446, 2446, 2446, 2446, 2446, 2446, 2446, 2446, 2446, 2446, 2446]",1.0,0
die,death,"['fn', 'wn', 'wn', 'wn', 'wn', 'wn']","['Death', 3, 3, 3, 3, 3]","['fn', 141, 141, 141, 141, 141]","['fn', 255, 255, 255, 255, 255]","['fn', 2446, 2446, 2446, 2446, 2446]",0.8818897637795275,0
marry,marriage,"['fn', 'wn', 'wn']","['Forming_relationships', 0, 1]","['fn', 44, 2]","['fn', 63, 2]","['fn', 253, 263]",0.05263157894736842,0
marry,wedding,"['fn', 'wn', 'wn']","['Forming_relationships', 0, 1]","['fn', 3, 0]","['fn', 63, 2]","['fn', 253, 263]",1.0,0
meet,meeting,"['fn', 'wn', 'wn', 'wn', 'wn']","['Discussion', 1, 1, 2, 2]","['fn', 49, 49, 38, 38]","['fn', 235, 235, 409, 409]","['fn', 2343, 2343, 5060, 5060]",0.9743589743589745,0
