represent,representation,nomlex,NA,NA,NA,NA,NA,NA
represent,representative,nomlex,NA,NA,NA,NA,NA,NA
consider,consideration,nomlex,NA,NA,NA,NA,NA,NA
pardon,pardon,nomlex,NA,NA,NA,NA,NA,NA
dance,dance,nomlex,NA,NA,NA,NA,NA,NA
dance,dancer,nomlex,NA,NA,NA,NA,NA,NA
debauch,debauchery,nomlex,NA,NA,NA,NA,NA,NA
rob,robbery,nomlex,NA,NA,NA,NA,NA,NA
lack,lack,nomlex,NA,NA,NA,NA,NA,NA
peruse,perusal,nomlex,NA,NA,NA,NA,NA,NA
invent,invention,nomlex,NA,NA,NA,NA,NA,NA
protest,protest,nomlex,NA,NA,NA,NA,NA,NA
commute,commuter,nomlex,NA,NA,NA,NA,NA,NA
generalize,generalization,nomlex,NA,NA,NA,NA,NA,NA
battle,battle,nomlex,NA,NA,NA,NA,NA,NA
retail,retailer,nomlex,NA,NA,NA,NA,NA,NA
research,research,nomlex,NA,NA,NA,NA,NA,NA
research,researcher,nomlex,NA,NA,NA,NA,NA,NA
compose,composer,nomlex,NA,NA,NA,NA,NA,NA
compose,composition,nomlex,NA,NA,NA,NA,NA,NA
calculate,calculation,nomlex,NA,NA,NA,NA,NA,NA
involve,involution,nomlex,NA,NA,NA,NA,NA,NA
involve,involvement,nomlex,NA,NA,NA,NA,NA,NA
extrapolate,extrapolation,nomlex,NA,NA,NA,NA,NA,NA
amaze,amazement,nomlex,NA,NA,NA,NA,NA,NA
charge,charge,nomlex,NA,NA,NA,NA,NA,NA
compensate,compensation,nomlex,NA,NA,NA,NA,NA,NA
present,presentation,nomlex,NA,NA,NA,NA,NA,NA
solicit,solicitation,nomlex,NA,NA,NA,NA,NA,NA
include,inclusion,nomlex,NA,NA,NA,NA,NA,NA
eliminate,elimination,nomlex,NA,NA,NA,NA,NA,NA
persevere,perseverance,nomlex,NA,NA,NA,NA,NA,NA
fly,flight,nomlex,NA,NA,NA,NA,NA,NA
restrict,restriction,nomlex,NA,NA,NA,NA,NA,NA
collaborate,collaboration,nomlex,NA,NA,NA,NA,NA,NA
prepay,prepayment,nomlex,NA,NA,NA,NA,NA,NA
distort,distortion,nomlex,NA,NA,NA,NA,NA,NA
repay,repayment,nomlex,NA,NA,NA,NA,NA,NA
accuse,accusation,nomlex,NA,NA,NA,NA,NA,NA
fall,fall,nomlex,NA,NA,NA,NA,NA,NA
condition,conditioner,nomlex,NA,NA,NA,NA,NA,NA
arrange,arrangement1,nomlex,NA,NA,NA,NA,NA,NA
arrange,arrangement2,nomlex,NA,NA,NA,NA,NA,NA
dissociate,dissociation,nomlex,NA,NA,NA,NA,NA,NA
disturb,disturbance,nomlex,NA,NA,NA,NA,NA,NA
specify,specification,nomlex,NA,NA,NA,NA,NA,NA
re-elect,re-election,nomlex,NA,NA,NA,NA,NA,NA
succeed,success,nomlex,NA,NA,NA,NA,NA,NA
succeed,succession,nomlex,NA,NA,NA,NA,NA,NA
succeed,successor,nomlex,NA,NA,NA,NA,NA,NA
exaggerate,exaggeration,nomlex,NA,NA,NA,NA,NA,NA
die,death,nomlex,NA,NA,NA,NA,NA,NA
conceive,conception,nomlex,NA,NA,NA,NA,NA,NA
affirm,affirmation,nomlex,NA,NA,NA,NA,NA,NA
list,list,nomlex,NA,NA,NA,NA,NA,NA
adjust,adjustment,nomlex,NA,NA,NA,NA,NA,NA
delegate,delegation,nomlex,NA,NA,NA,NA,NA,NA
encroach,encroachment,nomlex,NA,NA,NA,NA,NA,NA
enhance,enhancement,nomlex,NA,NA,NA,NA,NA,NA
devaluate,devaluation,nomlex,NA,NA,NA,NA,NA,NA
dissect,dissection,nomlex,NA,NA,NA,NA,NA,NA
enjoy,enjoyment,nomlex,NA,NA,NA,NA,NA,NA
prevent,prevention,nomlex,NA,NA,NA,NA,NA,NA
dilute,dilution,nomlex,NA,NA,NA,NA,NA,NA
