pardon,pardon,nomlex,NA,NA,NA,NA,NA,NA
die,death,nomlex,NA,NA,NA,NA,NA,NA
appeal,appeal,nomlex,NA,NA,NA,NA,NA,NA
elect,election,nomlex,NA,NA,NA,NA,NA,NA
injure,injury,nomlex,NA,NA,NA,NA,NA,NA
execute,execution,nomlex,NA,NA,NA,NA,NA,NA
merge,merger,nomlex,NA,NA,NA,NA,NA,NA
found,founder,nomlex,NA,NA,NA,NA,NA,NA
attack,attack,nomlex,NA,NA,NA,NA,NA,NA
nominate,nomination,nomlex,NA,NA,NA,NA,NA,NA
nominate,nominee,nomlex,NA,NA,NA,NA,NA,NA
acquit,acquittal,nomlex,NA,NA,NA,NA,NA,NA
move,motion1,nomlex,NA,NA,NA,NA,NA,NA
move,movement,nomlex,NA,NA,NA,NA,NA,NA
extradite,extradition,nomlex,NA,NA,NA,NA,NA,NA
indict,indictment,nomlex,NA,NA,NA,NA,NA,NA
convict,conviction,nomlex,NA,NA,NA,NA,NA,NA
manufacture,manufacturer,nomlex,NA,NA,NA,NA,NA,NA
buy,buyer,nomlex,NA,NA,NA,NA,NA,NA
hire,hiring,nomlex,NA,NA,NA,NA,NA,NA
demonstrate,demonstration,nomlex,NA,NA,NA,NA,NA,NA
parole,parolee,nomlex,NA,NA,NA,NA,NA,NA
